SaleDate,ProductID,QuantitySold,SaleAmount
2023-10-03,45,7,645.3513422768166
2023-02-11,48,18,3490.84967425902
2023-07-28,1,8,606.5315622310964
2023-09-26,4,3,247.55709258403087
2023-06-17,4,17,2533.7330152925733
2023-04-23,40,19,1758.854099633278
2023-12-17,10,14,2628.7863134954755
2023-05-11,20,5,275.80264833460853
2023-08-13,22,5,397.2158120553747
2023-10-29,37,13,1832.2539986598795
2023-08-06,24,18,3238.7160671570336
2023-01-26,7,2,57.21335304442332
2023-03-10,25,6,312.608453197937
2023-09-18,25,2,99.02280786114481
2023-08-24,13,8,803.6345529816007
2023-07-25,2,10,1788.4692211089246
2023-10-20,39,18,1346.9572376540793
2023-08-04,40,10,801.212966172359
2023-07-10,24,1,183.76176876938547
2023-07-18,47,5,135.97122438011465
2023-08-05,25,18,2305.2506509144114
2023-02-14,18,17,525.2817209182201
2023-02-03,38,4,311.91077315770843
2023-01-13,26,11,750.8484324898632
2023-04-16,14,2,275.24505967456713
2023-08-02,9,5,800.6463774856684
2023-05-20,10,5,516.3352715824496
2023-07-03,21,17,1067.043517450338
2023-05-07,17,17,3021.964921742021
2023-06-07,6,16,1177.8361500930373
2023-04-23,16,11,1638.847274352799
2023-09-17,48,14,1586.1362480614573
2023-01-29,1,9,398.6635868822481
2023-08-07,19,12,1343.5346852947562
2023-06-02,36,7,744.3124621986317
2023-11-07,25,10,730.126195132669
2023-11-05,30,16,156.8142660161418
2023-06-25,20,4,136.0868566856767
2023-05-30,20,13,399.24491674308473
2023-01-31,15,19,2717.834199212486
2023-03-10,40,18,2578.8431186136077
2023-02-06,33,11,1367.2003489586946
2023-10-24,2,3,408.06560452377425
2023-03-16,10,2,184.53118959679963
2023-10-26,33,12,1688.820575380452
2023-10-31,32,4,315.0943929792336
2023-08-08,11,13,318.5812449486434
2023-09-18,24,5,961.2503647655341
2023-10-16,36,2,38.24943451166095
2023-09-24,12,18,157.74512864325925
2023-01-29,29,1,196.01678411357548
2023-07-20,35,8,271.6258168509561
2023-03-04,1,5,277.23476401971374
2023-12-09,1,4,188.11247302034496
2023-12-21,37,6,708.4975061262517
2023-02-15,6,7,1366.9010502160043
2023-10-19,39,4,232.94694300924562
